id,varname,description
var1,StartDate,"Start time of the survey"
var2,EndDate,"End time of the survey"
var3,Duration__in_seconds_,"Survey duration time"
var4,RecordedDate,"Date of the survey"
var5,Q70,"The response for the attention check - should be 8"
var6,A1,"var6 - var22 - Literacy test question: 1 = correct, 0= incorrect"
var7,A2,
var8,A3,
var9,A4,
var10,A5,
var11,A6,
var12,A7,
var13,A8,
var14,A9,
var15,A10,
var16,A11,
var17,A12,
var18,A13,
var19,A14,
var20,A15,
var21,A16,
var22,A17,
var23,Change_life,"I believe that products and services using artificial intelligence will profoundly change my daily life in the next 3-5 years - 1 - not at all; 7 - very much"
var24,Have_benefits,"I believe that products and services using artificial intelligence have more benefits than drawbacks - 1 - not at all; 7 - very much"
var25,Life_easier,"I believe that products and services using artificial intelligence make my life easier - 1 - not at all; 7 - very much"
var26,trust_companies,"I  trust companies using artificial intelligence as much as I trust other companies - 1 - not at all; 7 - very much"
var27,magic1,"Artificial intelligence seems to conjure answers out of thin air - 1 - strongly disagree; 7 - strongly agree"
var28,magic2,"Artificial intelligence seems like wizardry  - 1 - strongly disagree; 7 - strongly agree"
var29,magic3,"Artificial intelligence seems superhuman - 1 - strongly disagree; 7 - strongly agree"
var30,magic4,"Artificial intelligence seems magical - 1 - strongly disagree; 7 - strongly agree"
var31,magic5,"Artificial intelligence has an air of mystique - 1 - strongly disagree; 7 - strongly agree"
var32,magic6,"If I could see how artificial intelligence works, it would look like a magic show - 1 - strongly disagree; 7 - strongly agree"
var33,awe1,"I experience feelings of awe  - 1 - strongly disagree; 7 - strongly agree"
var34,awe2,"I feel that I am witness to something grand  - 1 - strongly disagree; 7 - strongly agree"
var35,awe3,"I perceive vastness and I feel my jaw drop  - 1 - strongly disagree; 7 - strongly agree"
var36,awe4,"I have goosebumps and gasp  - 1 - strongly disagree; 7 - strongly agree"
var37,inhumanity,"I fear that artificial intelligence will make us lose our humanity - 1 - not at all; 7 - very much"
var38,uprising,"I fear that artificial intelligence will turn against humans - 1 - not at all; 7 - very much"
var39,obsolescence,"I fear that artificial intelligence will make humans become obsolete - 1 - not at all; 7 - very much"
var40,alienation,"I fear that artificial intelligence will make humans lose the ability to connect with each other - 1 - not at all; 7 - very much"
var41,song,"Composing a song - 1 - definitely incapable; 7- definitely capable"
var42,gift,"Recommending a gift - 1 - definitely incapable; 7- definitely capable"
var43,piano,"Playing the piano - 1 - definitely incapable; 7- definitely capable"
var44,news,"Writing news article - 1 - definitely incapable; 7- definitely capable"
var45,car,"Driving a car - 1 - definitely incapable; 7- definitely capable"
var46,plane,"Piloting a plane - 1 - definitely incapable; 7- definitely capable"
var47,music,"Recommending music - 1 - definitely incapable; 7- definitely capable"
var48,Gender,"o	Male  (1)  o	Female  (2)  o	Non-binary / Third gender  (3)  o	Other  (4) __________________________________________________ o	Prefer not to say  (5) "
var49,Age,"age in years"
var50,Income,"o	Less than $25,000  (1)  o	$25,000-$49,999  (2)  o	$50,000-$99,999  (3)  o	$100,000-$199,999  (4)  o	More than $200,000  (5) "
var51,SC0,"Sum of the scores for the 17 item AI Literacy measure"
var52,magic,"Average magic score"
var53,AIScore,"Sum of the scores for the 17 item AI Literacy measure (repeat of var 51)"
var54,Awe4Items,"average awe score"
var55,FearItems,"average fear score"
var56,AICapability,"average capability score"
var57,IPSOS,"average ipsos score (items 23-26)"
var58,filter_$,"Filter dummy (0 for those who failed the IMC and should not be included and 1 for those that should be included in the analysis)"
